StudentID,Arkonian Warfare Tactics,ExoGenetics Evolution,Transdimensional Navigation,Warp Field Theory,Dark Matter Biophysics,Zarnithian Philosophy,Drakthon Linguistics,Xynthium Material Sciences,Hyperspace Topology,Helio-Bio Interface,Luminarian Art Theory,Stellar Cartography,Chrono-Kinetics,Technotronic Linguistic Fusion,Cybernetic Ethics,Nebulon Astrophysics,Quasar Dynamics,Glacial Holo-Architecture,Aether Resonance,Gravix Planetary Studies,Vortex Quantum Mechanics,Holo-Temporal Engineering,Psi-Energy Manipulation,Plasmawave Analysis,Neutronia Metallurgy,Syntho-Chemical Engineering,Sublight Propulsion Systems,Krythos Biomechanics,Flux Capacitor Management,Xyloprax Computation,Yridium Power Systems,Quantum Neuro-Hacking,Zyglon Neurology
210333,NG,NG,NG,NG,NG,8.0,7.0,NG,NG,NG,NG,NG,NG,NG,NG,8.0,8.0,NG,NG,NG,8.0,8.0,NG,NG,NG,NG,NG,8.0,NG,8.0,NG,NG,NG
210124,NG,NG,NG,NG,NG,7.0,6.0,NG,NG,NG,NG,NG,NG,NG,NG,5.0,6.0,NG,NG,NG,7.0,7.0,NG,NG,NG,NG,NG,8.0,NG,6.0,NG,NG,NG
211219,NG,NG,NG,NG,NG,8.0,7.0,NG,NG,NG,NG,NG,NG,NG,NG,9.0,6.0,NG,NG,NG,10.0,10.0,NG,NG,NG,NG,NG,9.0,NG,10.0,NG,NG,NG
211210,NG,NG,NG,NG,NG,9.0,8.0,NG,NG,NG,NG,NG,NG,NG,NG,8.0,8.0,NG,NG,NG,8.0,9.0,NG,NG,NG,NG,NG,8.0,NG,8.0,NG,NG,NG
210129,NG,NG,NG,NG,NG,7.0,8.0,NG,NG,NG,NG,NG,NG,NG,NG,7.0,8.0,NG,NG,NG,7.0,7.0,NG,NG,NG,NG,NG,6.0,NG,7.0,NG,NG,NG
211803,4.0,6.0,NG,6.0,NG,6.0,6.0,NG,NG,6.0,4.0,NG,5.0,NG,NG,6.0,6.0,NG,NG,6.0,6.0,6.0,NG,7.0,NG,6.0,NG,6.0,8.0,7.0,6.0,NG,NG
212055,6.0,8.0,NG,6.0,NG,7.0,6.0,NG,NG,7.0,5.0,NG,5.0,NG,NG,7.0,7.0,NG,NG,6.0,6.0,7.0,NG,8.0,NG,6.0,NG,6.0,7.0,6.0,5.0,NG,NG
211974,7.0,7.0,NG,7.0,NG,8.0,8.0,NG,NG,8.0,5.0,NG,5.0,NG,NG,7.0,7.0,NG,NG,8.0,7.0,7.0,NG,10.0,NG,6.0,NG,7.0,7.0,7.0,6.0,NG,NG
211831,6.0,6.0,NG,8.0,NG,7.0,8.0,NG,NG,7.0,7.0,NG,6.0,NG,NG,7.0,8.0,NG,NG,7.0,8.0,8.0,NG,8.0,NG,7.0,NG,6.0,9.0,9.0,7.0,NG,NG
211603,6.0,6.0,NG,6.0,NG,6.0,6.0,NG,NG,8.0,6.0,NG,7.0,NG,NG,6.0,4.0,NG,NG,8.0,9.0,8.0,NG,7.0,NG,8.0,NG,7.0,7.0,8.0,6.0,NG,NG
212488,8.0,9.0,NG,8.0,NG,9.0,7.0,NG,NG,10.0,8.0,NG,8.0,NG,NG,7.0,7.0,NG,NG,9.0,9.0,10.0,NG,8.0,NG,10.0,NG,9.0,9.0,8.0,9.0,NG,NG
211229,NG,NG,NG,NG,NG,8.0,8.0,NG,NG,NG,NG,NG,NG,NG,NG,8.0,8.0,NG,NG,NG,8.0,9.0,NG,NG,NG,NG,NG,8.0,NG,8.0,NG,NG,NG
211060,NG,NG,NG,NG,NG,7.0,7.0,NG,NG,NG,NG,NG,NG,NG,NG,7.0,7.0,NG,NG,NG,7.0,6.0,NG,NG,NG,NG,NG,6.0,NG,6.0,NG,NG,NG
211830,7.0,7.0,NG,8.0,NG,7.0,8.0,NG,NG,7.0,4.0,NG,5.0,NG,NG,6.0,8.0,NG,NG,7.0,6.0,6.0,NG,8.0,NG,5.0,NG,6.0,8.0,6.0,5.0,NG,NG
211826,8.0,8.0,NG,8.0,NG,9.0,8.0,NG,NG,7.0,6.0,NG,7.0,NG,NG,9.0,8.0,NG,NG,8.0,10.0,8.0,NG,10.0,NG,6.0,NG,8.0,9.0,8.0,7.0,NG,NG
211820,5.0,7.0,NG,7.0,NG,7.0,6.0,NG,NG,8.0,5.0,NG,6.0,NG,NG,7.0,6.0,NG,NG,7.0,6.0,7.0,NG,7.0,NG,6.0,NG,6.0,7.0,6.0,6.0,NG,NG
211133,NG,NG,NG,NG,NG,9.0,8.0,NG,NG,NG,NG,NG,NG,NG,NG,9.0,9.0,NG,NG,NG,8.0,9.0,NG,NG,NG,NG,NG,7.0,NG,10.0,NG,NG,NG
210465,NG,NG,NG,NG,NG,7.0,10.0,NG,NG,NG,NG,NG,NG,NG,NG,10.0,9.0,NG,NG,NG,8.0,8.0,NG,NG,NG,NG,NG,8.0,NG,9.0,NG,NG,NG
210962,NG,NG,NG,NG,NG,8.0,6.0,NG,NG,NG,NG,NG,NG,NG,NG,8.0,7.0,NG,NG,NG,10.0,10.0,NG,NG,NG,NG,NG,8.0,NG,9.0,NG,NG,NG
212506,6.0,7.0,NG,7.0,NG,8.0,7.0,NG,NG,7.0,6.0,NG,6.0,NG,NG,7.0,7.0,NG,NG,7.0,8.0,8.0,NG,10.0,NG,9.0,NG,7.0,9.0,8.0,6.0,NG,NG
212038,6.0,7.0,NG,5.0,NG,7.0,6.0,NG,NG,7.0,5.0,NG,5.0,NG,NG,4.0,5.0,NG,NG,7.0,6.0,7.0,NG,7.0,NG,7.0,NG,7.0,7.0,5.0,6.0,NG,NG
212868,5.0,7.0,NG,7.0,NG,9.0,7.0,NG,NG,7.0,6.0,NG,6.0,NG,NG,7.0,8.0,NG,7.0,7.0,7.0,7.0,7.0,8.0,NG,7.0,NG,6.0,9.0,7.0,8.0,NG,7.0
210831,NG,NG,NG,NG,NG,7.0,7.0,NG,NG,NG,NG,NG,NG,NG,NG,8.0,5.0,NG,NG,NG,8.0,9.0,NG,NG,NG,NG,NG,8.0,NG,9.0,NG,NG,NG
211230,NG,NG,NG,NG,NG,7.0,6.0,NG,NG,NG,NG,NG,NG,NG,NG,6.0,5.0,NG,NG,NG,8.0,8.0,NG,NG,NG,NG,NG,6.0,NG,7.0,NG,NG,NG
212093,6.0,6.0,NG,6.0,NG,6.0,7.0,NG,NG,6.0,6.0,NG,4.0,NG,NG,8.0,7.0,NG,NG,6.0,6.0,6.0,NG,8.0,NG,6.0,NG,6.0,7.0,8.0,6.0,NG,NG
212640,7.0,7.0,9.0,9.0,10.0,9.0,8.0,10.0,NG,7.0,7.0,9.0,8.0,NG,9.0,8.0,8.0,8.0,9.0,8.0,9.0,9.0,8.0,9.0,8.0,9.0,8.0,8.0,9.0,10.0,8.0,NG,10.0
210311,NG,NG,NG,NG,NG,8.0,6.0,NG,NG,NG,NG,NG,NG,NG,NG,7.0,6.0,NG,NG,NG,7.0,7.0,NG,NG,NG,NG,NG,7.0,NG,7.0,NG,NG,NG
211262,NG,NG,NG,NG,NG,7.0,8.0,NG,NG,NG,NG,NG,NG,NG,NG,7.0,8.0,NG,NG,NG,6.0,7.0,NG,NG,NG,NG,NG,8.0,NG,6.0,NG,NG,NG
212156,8.0,7.0,NG,8.0,NG,9.0,7.0,NG,NG,8.0,7.0,NG,7.0,NG,NG,8.0,8.0,NG,NG,7.0,8.0,9.0,NG,10.0,NG,7.0,NG,7.0,9.0,7.0,8.0,NG,NG
210547,NG,NG,NG,NG,NG,9.0,7.0,NG,NG,NG,NG,NG,NG,NG,NG,8.0,8.0,NG,NG,NG,9.0,10.0,NG,NG,NG,NG,NG,9.0,NG,9.0,NG,NG,NG
210748,NG,NG,NG,NG,NG,9.0,9.0,NG,NG,NG,NG,NG,NG,NG,NG,8.0,9.0,NG,NG,NG,8.0,8.0,NG,NG,NG,NG,NG,8.0,NG,8.0,NG,NG,NG
210693,NG,NG,NG,NG,NG,6.0,6.0,NG,NG,NG,NG,NG,NG,NG,NG,7.0,5.0,NG,NG,NG,6.0,7.0,NG,NG,NG,NG,NG,6.0,NG,5.0,NG,NG,NG
210714,NG,NG,NG,NG,NG,6.0,6.0,NG,NG,NG,NG,NG,NG,NG,NG,7.0,6.0,NG,NG,NG,8.0,7.0,NG,NG,NG,NG,NG,6.0,NG,8.0,NG,NG,NG
210774,NG,NG,NG,NG,NG,6.0,6.0,NG,NG,NG,NG,NG,NG,NG,NG,5.0,6.0,NG,NG,NG,7.0,7.0,NG,NG,NG,NG,NG,6.0,NG,7.0,NG,NG,NG
211708,6.0,6.0,NG,6.0,NG,6.0,6.0,NG,NG,6.0,6.0,NG,6.0,NG,NG,5.0,6.0,NG,NG,7.0,8.0,7.0,NG,8.0,NG,6.0,NG,7.0,6.0,7.0,6.0,NG,NG
210646,NG,NG,NG,NG,NG,6.0,6.0,NG,NG,NG,NG,NG,NG,NG,NG,6.0,6.0,NG,NG,NG,7.0,8.0,NG,NG,NG,NG,NG,7.0,NG,7.0,NG,NG,NG
212998,7.0,6.0,10.0,8.0,NG,8.0,7.0,10.0,NG,8.0,7.0,8.0,7.0,NG,8.0,8.0,7.0,8.0,8.0,9.0,8.0,9.0,7.0,10.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,NG,7.0
212170,8.0,8.0,NG,7.0,NG,7.0,7.0,NG,NG,7.0,7.0,NG,6.0,NG,NG,8.0,7.0,NG,NG,8.0,8.0,8.0,NG,9.0,NG,6.0,NG,8.0,7.0,7.0,6.0,NG,NG
212556,8.0,8.0,9.0,8.0,9.0,9.0,7.0,NG,NG,7.0,7.0,9.0,6.0,NG,7.0,8.0,7.0,8.0,8.0,7.0,10.0,10.0,8.0,10.0,8.0,6.0,9.0,8.0,8.0,7.0,7.0,NG,8.0
210187,NG,NG,NG,NG,NG,7.0,8.0,NG,NG,NG,NG,NG,NG,NG,NG,6.0,6.0,NG,NG,NG,6.0,6.0,NG,NG,NG,NG,NG,6.0,NG,6.0,NG,NG,NG
211452,NG,NG,NG,NG,NG,6.0,5.0,NG,NG,NG,NG,NG,NG,NG,NG,6.0,6.0,NG,NG,NG,7.0,7.0,NG,NG,NG,NG,NG,5.0,NG,8.0,NG,NG,NG
212470,6.0,6.0,NG,7.0,NG,7.0,8.0,NG,NG,7.0,7.0,NG,7.0,NG,NG,8.0,8.0,NG,NG,8.0,8.0,8.0,NG,9.0,NG,7.0,NG,7.0,9.0,9.0,6.0,NG,NG
212903,8.0,8.0,8.0,8.0,7.0,9.0,7.0,9.0,NG,9.0,7.0,9.0,7.0,NG,6.0,7.0,7.0,7.0,7.0,7.0,9.0,9.0,8.0,10.0,8.0,8.0,7.0,8.0,8.0,7.0,7.0,NG,6.0
212947,6.0,4.0,NG,6.0,NG,6.0,6.0,NG,NG,7.0,6.0,NG,6.0,NG,NG,6.0,4.0,NG,7.0,7.0,9.0,8.0,NG,8.0,NG,7.0,NG,7.0,7.0,7.0,7.0,NG,6.0
213339,7.0,7.0,7.0,8.0,7.0,7.0,7.0,7.0,NG,8.0,7.0,9.0,9.0,NG,7.0,7.0,8.0,7.0,8.0,9.0,7.0,8.0,8.0,9.0,8.0,9.0,7.0,7.0,10.0,8.0,7.0,NG,8.0
212307,7.0,8.0,NG,7.0,NG,7.0,7.0,NG,NG,8.0,5.0,NG,5.0,NG,NG,6.0,7.0,NG,NG,8.0,7.0,8.0,NG,8.0,NG,7.0,NG,7.0,7.0,6.0,5.0,NG,NG
210308,NG,NG,NG,NG,NG,7.0,7.0,NG,NG,NG,NG,NG,NG,NG,NG,8.0,7.0,NG,NG,NG,7.0,6.0,NG,NG,NG,NG,NG,6.0,NG,8.0,NG,NG,NG
210258,NG,NG,NG,NG,NG,9.0,7.0,NG,NG,NG,NG,NG,NG,NG,NG,7.0,8.0,NG,NG,NG,NG,9.0,NG,NG,NG,NG,NG,9.0,NG,7.0,NG,NG,NG
210582,NG,NG,NG,NG,NG,6.0,6.0,NG,NG,NG,NG,NG,NG,NG,NG,7.0,6.0,NG,NG,NG,7.0,8.0,NG,NG,NG,NG,NG,5.0,NG,7.0,NG,NG,NG
212780,7.0,7.0,8.0,7.0,10.0,9.0,7.0,NG,NG,9.0,8.0,9.0,9.0,NG,7.0,8.0,7.0,7.0,8.0,9.0,10.0,10.0,8.0,10.0,7.0,9.0,8.0,8.0,8.0,8.0,8.0,NG,8.0
211734,8.0,7.0,NG,7.0,NG,7.0,7.0,NG,NG,6.0,6.0,NG,4.0,NG,NG,6.0,8.0,NG,NG,6.0,7.0,7.0,NG,8.0,NG,5.0,NG,6.0,8.0,7.0,6.0,NG,NG
211291,NG,NG,NG,NG,NG,7.0,8.0,NG,NG,NG,NG,NG,NG,NG,NG,8.0,8.0,NG,NG,NG,8.0,8.0,NG,NG,NG,NG,NG,6.0,NG,9.0,NG,NG,NG
212518,8.0,9.0,8.0,9.0,8.0,9.0,7.0,8.0,NG,9.0,7.0,8.0,7.0,NG,6.0,6.0,8.0,8.0,7.0,8.0,9.0,8.0,8.0,10.0,8.0,8.0,7.0,8.0,9.0,8.0,7.0,NG,9.0
210135,NG,NG,NG,NG,NG,9.0,8.0,NG,NG,NG,NG,NG,NG,NG,NG,7.0,8.0,NG,NG,NG,9.0,8.0,NG,NG,NG,NG,NG,7.0,NG,8.0,NG,NG,NG
210824,NG,NG,NG,NG,NG,8.0,8.0,NG,NG,NG,NG,NG,NG,NG,NG,9.0,8.0,NG,NG,NG,9.0,9.0,NG,NG,NG,NG,NG,7.0,NG,9.0,NG,NG,NG
210328,NG,NG,NG,NG,NG,6.0,6.0,NG,NG,NG,NG,NG,NG,NG,NG,6.0,6.0,NG,NG,NG,7.0,7.0,NG,NG,NG,NG,NG,6.0,NG,6.0,NG,NG,NG
210318,NG,NG,NG,NG,NG,8.0,8.0,NG,NG,NG,NG,NG,NG,NG,NG,7.0,8.0,NG,NG,NG,10.0,9.0,NG,NG,NG,NG,NG,7.0,NG,9.0,NG,NG,NG
210763,NG,NG,NG,NG,NG,8.0,6.0,NG,NG,NG,NG,NG,NG,NG,NG,6.0,6.0,NG,NG,NG,9.0,9.0,NG,NG,NG,NG,NG,7.0,NG,8.0,NG,NG,NG
211909,7.0,8.0,NG,8.0,NG,7.0,8.0,NG,NG,9.0,6.0,NG,6.0,NG,NG,9.0,8.0,NG,NG,8.0,7.0,7.0,NG,9.0,NG,7.0,NG,7.0,9.0,8.0,6.0,NG,NG
211593,7.0,8.0,NG,9.0,NG,10.0,9.0,NG,NG,9.0,6.0,NG,7.0,NG,NG,9.0,9.0,NG,NG,9.0,9.0,8.0,NG,10.0,NG,8.0,NG,7.0,10.0,8.0,8.0,NG,NG
210170,NG,NG,NG,NG,NG,7.0,7.0,NG,NG,NG,NG,NG,NG,NG,NG,7.0,6.0,NG,NG,NG,8.0,8.0,NG,NG,NG,NG,NG,7.0,NG,7.0,NG,NG,NG
212155,6.0,6.0,NG,5.0,NG,6.0,6.0,NG,NG,7.0,6.0,NG,7.0,NG,NG,7.0,6.0,NG,NG,7.0,8.0,8.0,NG,8.0,NG,7.0,NG,7.0,7.0,7.0,6.0,NG,NG
212257,6.0,6.0,NG,6.0,NG,7.0,7.0,NG,NG,6.0,4.0,NG,5.0,NG,NG,7.0,7.0,NG,NG,6.0,6.0,6.0,NG,8.0,NG,6.0,NG,6.0,8.0,7.0,5.0,NG,NG
212634,6.0,7.0,6.0,6.0,8.0,6.0,6.0,6.0,NG,8.0,6.0,7.0,6.0,NG,6.0,7.0,7.0,6.0,7.0,7.0,6.0,7.0,8.0,7.0,7.0,7.0,6.0,6.0,8.0,7.0,7.0,NG,7.0
212805,6.0,6.0,NG,7.0,8.0,7.0,7.0,7.0,NG,5.0,6.0,5.0,6.0,NG,8.0,8.0,7.0,7.0,7.0,6.0,9.0,7.0,6.0,8.0,6.0,6.0,7.0,7.0,8.0,9.0,7.0,NG,8.0
210586,NG,NG,NG,NG,NG,8.0,7.0,NG,NG,NG,NG,NG,NG,NG,NG,9.0,7.0,NG,NG,NG,9.0,9.0,NG,NG,NG,NG,NG,8.0,NG,9.0,NG,NG,NG
211920,7.0,9.0,NG,8.0,NG,8.0,9.0,NG,NG,8.0,6.0,NG,7.0,NG,NG,10.0,9.0,NG,NG,9.0,9.0,8.0,NG,10.0,NG,8.0,NG,7.0,10.0,8.0,6.0,NG,NG
210946,NG,NG,NG,NG,NG,8.0,8.0,NG,NG,NG,NG,NG,NG,NG,NG,7.0,7.0,NG,NG,NG,8.0,8.0,NG,NG,NG,NG,NG,8.0,NG,8.0,NG,NG,NG
210361,NG,NG,NG,NG,NG,6.0,6.0,NG,NG,NG,NG,NG,NG,NG,NG,6.0,6.0,NG,NG,NG,7.0,6.0,NG,NG,NG,NG,NG,5.0,NG,7.0,NG,NG,NG
210244,NG,NG,NG,NG,NG,6.0,6.0,NG,NG,NG,NG,NG,NG,NG,NG,7.0,7.0,NG,NG,NG,7.0,8.0,NG,NG,NG,NG,NG,7.0,NG,6.0,NG,NG,NG
212787,6.0,6.0,7.0,6.0,7.0,6.0,6.0,8.0,NG,6.0,6.0,6.0,7.0,NG,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,6.0,7.0,6.0,7.0,5.0,6.0,7.0,7.0,6.0,NG,7.0
210951,NG,NG,NG,NG,NG,6.0,6.0,NG,NG,NG,NG,NG,NG,NG,NG,5.0,4.0,NG,NG,NG,8.0,9.0,NG,NG,NG,NG,NG,7.0,NG,8.0,NG,NG,NG
213061,6.0,7.0,5.0,7.0,6.0,7.0,6.0,6.0,NG,6.0,5.0,6.0,6.0,NG,4.0,7.0,6.0,5.0,6.0,6.0,7.0,7.0,7.0,8.0,6.0,6.0,5.0,6.0,7.0,6.0,6.0,NG,NG
212146,7.0,7.0,NG,6.0,NG,7.0,6.0,NG,NG,7.0,5.0,NG,6.0,NG,NG,8.0,7.0,NG,NG,7.0,8.0,9.0,NG,8.0,NG,7.0,NG,7.0,7.0,9.0,8.0,NG,NG
212431,7.0,8.0,NG,8.0,NG,7.0,7.0,NG,NG,8.0,5.0,NG,7.0,NG,NG,7.0,7.0,NG,NG,9.0,8.0,9.0,NG,9.0,NG,7.0,NG,8.0,8.0,8.0,7.0,NG,NG
211908,7.0,7.0,NG,7.0,NG,7.0,7.0,NG,NG,8.0,7.0,NG,8.0,NG,NG,8.0,6.0,NG,NG,9.0,8.0,9.0,NG,8.0,NG,8.0,NG,7.0,7.0,8.0,7.0,NG,NG
212374,6.0,7.0,NG,7.0,NG,6.0,6.0,NG,NG,7.0,5.0,NG,5.0,NG,NG,7.0,6.0,NG,NG,6.0,6.0,8.0,NG,8.0,NG,7.0,NG,6.0,6.0,6.0,5.0,NG,NG
211046,NG,NG,NG,NG,NG,10.0,9.0,NG,NG,NG,NG,NG,NG,NG,NG,7.0,8.0,NG,NG,NG,8.0,9.0,NG,NG,NG,NG,NG,7.0,NG,7.0,NG,NG,NG
211903,5.0,7.0,NG,7.0,NG,6.0,7.0,NG,NG,6.0,4.0,NG,4.0,NG,NG,6.0,7.0,NG,NG,6.0,6.0,6.0,NG,8.0,NG,5.0,NG,6.0,7.0,6.0,5.0,NG,NG
213317,9.0,9.0,9.0,7.0,9.0,9.0,8.0,10.0,NG,9.0,7.0,8.0,6.0,NG,8.0,9.0,9.0,8.0,7.0,7.0,8.0,8.0,7.0,10.0,8.0,6.0,9.0,8.0,9.0,8.0,7.0,NG,9.0
210797,NG,NG,NG,NG,NG,8.0,6.0,NG,NG,NG,NG,NG,NG,NG,NG,7.0,5.0,NG,NG,NG,9.0,8.0,NG,NG,NG,NG,NG,7.0,NG,8.0,NG,NG,NG
211119,NG,NG,NG,NG,NG,9.0,8.0,NG,NG,NG,NG,NG,NG,NG,NG,8.0,8.0,NG,NG,NG,10.0,9.0,NG,NG,NG,NG,NG,9.0,NG,8.0,NG,NG,NG
210448,NG,NG,NG,NG,NG,8.0,8.0,NG,NG,NG,NG,NG,NG,NG,NG,8.0,9.0,NG,NG,NG,6.0,8.0,NG,NG,NG,NG,NG,6.0,NG,7.0,NG,NG,NG
211677,7.0,6.0,NG,7.0,NG,8.0,6.0,NG,NG,6.0,6.0,NG,6.0,NG,NG,8.0,8.0,NG,NG,6.0,8.0,8.0,NG,9.0,NG,6.0,NG,6.0,8.0,7.0,6.0,NG,NG
210496,NG,NG,NG,NG,NG,8.0,7.0,NG,NG,NG,NG,NG,NG,NG,NG,7.0,7.0,NG,NG,NG,8.0,8.0,NG,NG,NG,NG,NG,6.0,NG,7.0,NG,NG,NG
211514,NG,NG,NG,NG,NG,8.0,7.0,NG,NG,NG,NG,NG,NG,NG,NG,7.0,8.0,NG,NG,NG,6.0,7.0,NG,NG,NG,NG,NG,6.0,NG,6.0,NG,NG,NG
211687,7.0,8.0,NG,NG,NG,8.0,8.0,NG,NG,7.0,7.0,NG,9.0,NG,NG,7.0,8.0,NG,NG,10.0,9.0,8.0,NG,9.0,NG,10.0,NG,8.0,10.0,9.0,8.0,NG,NG
