StudentID,Arkonian Warfare Tactics,ExoGenetics Evolution,Transdimensional Navigation,Warp Field Theory,Dark Matter Biophysics,Zarnithian Philosophy,Drakthon Linguistics,Xynthium Material Sciences,Hyperspace Topology,Helio-Bio Interface,Luminarian Art Theory,Stellar Cartography,Chrono-Kinetics,Technotronic Linguistic Fusion,Cybernetic Ethics,Nebulon Astrophysics,Quasar Dynamics,Glacial Holo-Architecture,Aether Resonance,Gravix Planetary Studies,Vortex Quantum Mechanics,Holo-Temporal Engineering,Psi-Energy Manipulation,Plasmawave Analysis,Neutronia Metallurgy,Syntho-Chemical Engineering,Sublight Propulsion Systems,Krythos Biomechanics,Flux Capacitor Management,Xyloprax Computation,Yridium Power Systems,Quantum Neuro-Hacking,Zyglon Neurology
0,6.0,6.0,7.0,6.0,7.0,7.0,7.0,8.0,7.0,8.0,6.0,7.0,6.0,6.0,6.0,7.0,6.0,7.0,6.0,6.0,7.0,7.0,6.0,7.0,6.0,6.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0
1,7.0,6.0,8.0,7.0,7.0,8.0,7.0,10.0,6.0,8.0,6.0,7.0,6.0,7.0,6.0,8.0,7.0,8.0,6.0,7.0,8.0,7.0,7.0,8.0,7.0,7.0,9.0,7.0,6.0,6.0,6.0,6.0,7.0
2,8.0,7.0,10.0,7.0,10.0,8.0,7.0,10.0,8.0,8.0,8.0,8.0,8.0,6.0,7.0,7.0,7.0,7.0,7.0,9.0,10.0,9.0,9.0,9.0,7.0,8.0,8.0,10.0,8.0,8.0,9.0,8.0,8.0
3,8.0,8.0,9.0,8.0,8.0,9.0,9.0,9.0,8.0,8.0,7.0,8.0,7.0,8.0,8.0,10.0,9.0,9.0,8.0,8.0,7.0,8.0,8.0,10.0,9.0,8.0,8.0,8.0,8.0,9.0,7.0,7.0,10.0
4,7.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,8.0,6.0,6.0,8.0,8.0,6.0,7.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0
5,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,7.0,7.0,6.0,7.0,8.0,8.0,7.0,7.0,7.0,6.0,8.0,8.0,7.0,8.0,6.0,6.0,6.0,6.0,9.0,7.0,7.0,6.0,8.0
6,8.0,8.0,8.0,8.0,8.0,8.0,8.0,10.0,7.0,8.0,6.0,8.0,6.0,8.0,6.0,8.0,7.0,9.0,8.0,7.0,8.0,8.0,7.0,10.0,9.0,6.0,9.0,8.0,7.0,7.0,7.0,6.0,7.0
7,7.0,6.0,8.0,7.0,10.0,9.0,7.0,10.0,9.0,7.0,8.0,8.0,8.0,7.0,10.0,7.0,7.0,9.0,9.0,10.0,10.0,10.0,9.0,9.0,8.0,10.0,8.0,8.0,8.0,9.0,8.0,8.0,9.0
8,8.0,9.0,8.0,8.0,9.0,9.0,9.0,9.0,8.0,9.0,7.0,8.0,8.0,9.0,8.0,10.0,9.0,9.0,8.0,8.0,9.0,9.0,9.0,10.0,9.0,8.0,8.0,8.0,9.0,8.0,8.0,7.0,9.0
9,8.0,7.0,8.0,7.0,8.0,8.0,7.0,9.0,7.0,6.0,6.0,7.0,8.0,8.0,7.0,8.0,8.0,8.0,7.0,6.0,8.0,7.0,6.0,9.0,7.0,6.0,7.0,7.0,8.0,7.0,6.0,6.0,8.0
